统计年度,统计月份,BU,员工ID,职能,绩效分位,级别,司龄分箱,年龄分箱,底薪,基本工资调整,内勤绩效,岗位津贴,倒班津贴,特招津贴,加班费,经济补偿金,签约金,降温取暖费,配偶补贴,借调补贴
2025,1,平安集团,平安-01-000,法务,前10%,A类领导,3-5,25以下,8000,500,3200,1200,0,800,1500,24937,5000,300,1000,0
2025,1,平安集团,平安-01-001,技术,前10%,B类,5-8,25-30,6500,300,2600,800,600,0,2200,7408,0,300,500,0
2025,1,平安集团,平安-01-002,销售,前60%,CD类员工,5-8,25以下,5800,200,1800,600,0,0,800,7139,0,300,0,0
2025,1,平安集团,平安-01-003,产品,前60%,A类领导,3-5,30-35,9500,600,3800,1500,0,1000,1200,16363,0,300,1200,0
2025,1,平安集团,平安-01-004,产品,前60%,CD类员工,3-5,30-35,5200,150,1500,500,0,0,600,2798,0,300,0,0
2025,1,平安集团,平安-01-005,财务,前40%,CD类员工,8-10,40-45,6200,250,2000,700,0,0,900,5814,0,300,800,0
2025,1,平安集团,平安-01-006,财务,后30%,B类,1-3,35-40,7000,350,2100,900,0,0,1100,7341,0,300,600,0
2025,1,平安集团,平安-01-007,风控,前20%,A类领导,5-8,45+,10500,700,4200,1800,0,1200,1800,15868,0,300,1500,0
2025,1,平安集团,平安-01-008,风控,前40%,CD类员工,5-8,30-35,5900,220,1900,650,0,0,850,6694,0,300,400,0
2025,1,平安集团,平安-01-009,运营,前50%,A类领导,3-5,45+,11200,800,4500,2000,0,1500,2000,26948,0,300,1800,0
2025,1,平安集团,平安-01-010,财务,前30%,CD类员工,5-8,30-35,6000,230,1950,680,0,0,880,6734,0,300,450,0
2025,1,平安集团,平安-01-011,财务,前10%,CD类员工,1-3,40-45,5500,180,1600,550,0,0,700,3376,0,300,350,0
2025,1,平安集团,平安-01-012,产品,前20%,CD类员工,5-8,35-40,6800,280,2200,750,0,0,950,9510,0,300,550,0
2025,1,平安集团,平安-01-013,风控,前70%,CD类员工,5-8,40-45,5600,190,1650,570,0,0,720,4280,0,300,380,0
2025,1,平安集团,平安-01-014,销售,前50%,CD类员工,3-5,35-40,5400,170,1550,530,0,0,680,3900,0,300,320,0
2025,1,平安集团,平安-01-015,客服,前30%,B类,10年以上,25-30,7500,380,2400,850,400,0,1200,12864,0,300,700,0
2025,1,平安集团,平安-01-016,市场,后30%,CD类员工,5-8,35-40,6500,260,2050,720,0,0,920,9368,0,300,520,0
2025,1,平安集团,平安-01-017,产品,后20%,A类领导,5-8,45+,11500,850,4600,2100,0,1600,2100,27778,0,300,1900,0
2025,1,平安集团,平安-01-018,法务,前20%,CD类员工,5-8,45+,4800,120,1200,420,0,0,550,2001,0,300,250,0
2025,1,平安集团,平安-01-019,运营,后20%,A类领导,3-5,30-35,9800,650,3900,1600,0,1100,1600,18814,0,300,1300,0
2025,1,平安集团,平安-01-020,产品,前20%,CD类员工,1-3,25-30,5700,200,1750,600,0,0,780,5935,0,300,420,0
2025,1,平安集团,平安-01-021,法务,前40%,B类,3-5,25以下,7800,400,2500,900,0,0,1250,14459,0,300,750,0
2025,1,平安集团,平安-01-022,行政,后30%,CD类员工,5-8,25以下,6200,240,1980,690,0,0,900,7266,0,300,480,0
2025,1,平安集团,平安-01-023,风控,前60%,CD类员工,3-5,25-30,5900,210,1850,640,0,0,840,6436,0,300,440,0
2025,1,平安集团,平安-01-024,技术,前20%,B类,5-8,25-30,7200,360,2350,820,550,0,1180,9922,0,300,680,0
2025,1,平安集团,平安-01-025,客服,后20%,B类,5-8,25以下,7600,390,2450,870,450,0,1220,13737,0,300,720,0
2025,1,平安集团,平安-01-026,财务,前20%,A类领导,8-10,30-35,10200,720,4100,1750,0,1300,1750,23948,0,300,1600,0
2025,1,平安集团,平安-01-027,市场,前10%,CD类员工,3-5,25以下,6600,270,2100,730,0,0,940,9448,0,300,540,0
2025,1,平安集团,平安-01-028,市场,前40%,A类领导,1-3,25以下,9600,630,3850,1550,0,1050,1550,18531,0,300,1250,0
2025,1,平安集团,平安-01-029,行政,前20%,CD类员工,1年以下,45+,6100,230,1930,670,0,0,870,8089,0,300,470,0
2025,1,平安集团,平安-01-030,客服,后20%,CD类员工,3-5,35-40,5300,160,1500,520,0,0,660,3197,0,300,310,0
2025,1,平安集团,平安-01-031,行政,前60%,O类领导,3-5,25以下,13500,1100,5400,2500,0,2000,2500,35978,10000,300,2200,0
2025,1,平安集团,平安-01-032,运营,前50%,B类,1-3,35-40,6900,290,2250,780,0,0,980,9457,0,300,560,0
2025,1,平安集团,平安-01-033,风控,后30%,CD类员工,3-5,25-30,5100,140,1450,490,0,0,620,2498,0,300,280,0
2025,1,平安集团,平安-01-034,法务,前50%,CD类员工,1-3,25-30,5200,150,1500,510,0,0,640,3071,0,300,290,0
2025,1,平安集团,平安-01-035,客服,前70%,A类领导,3-5,35-40,8900,580,3550,1450,0,950,1450,12128,0,300,1150,0
2025,1,平安集团,平安-01-036,产品,后30%,CD类员工,10年以上,40-45,5800,205,1800,620,0,0,800,5952,0,300,430,0
2025,1,平安集团,平安-01-037,产品,前50%,CD类员工,3-5,30-35,5700,195,1750,600,0,0,780,5704,0,300,410,0
2025,1,平安集团,平安-01-038,法务,后30%,B类,5-8,40-45,8200,450,2650,950,0,0,1300,17349,0,300,800,0
2025,1,平安集团,平安-01-039,财务,前20%,CD类员工,10年以上,35-40,6700,275,2150,740,0,0,950,9313,0,300,550,0
2025,1,平安集团,平安-01-040,运营,前70%,B类,1-3,40-45,7700,395,2480,880,0,0,1230,13017,0,300,730,0
2025,1,平安集团,平安-01-041,财务,前30%,CD类员工,1年以下,35-40,5350,165,1530,530,0,0,670,4073,0,300,330,0
2025,1,平安集团,平安-01-042,行政,前40%,B类,5-8,35-40,8100,440,2600,930,0,0,1280,16941,0,300,780,0
2025,1,平安集团,平安-01-043,销售,前40%,CD类员工,5-8,25-30,5250,155,1480,510,0,0,650,2755,0,300,270,0
2025,1,平安集团,平安-01-044,产品,前20%,B类,1年以下,40-45,7900,420,2550,910,0,0,1260,14477,0,300,760,0
2025,1,平安集团,平安-01-045,项目,前30%,B类,10年以上,35-40,7300,370,2380,840,0,0,1190,7377,0,300,690,0
2025,1,平安集团,平安-01-046,法务,前60%,CD类员工,3-5,45+,5350,165,1530,530,0,0,670,3223,0,300,330,0
2025,1,平安集团,平安-01-047,销售,前60%,A类领导,1-3,45+,9700,640,3870,1560,0,1060,1560,18007,0,300,1260,0
2025,1,平安集团,平安-01-048,财务,前10%,CD类员工,1年以下,35-40,5280,158,1490,515,0,0,655,4166,0,300,325,0
2025,1,平安集团,平安-01-049,行政,前30%,O类领导,10年以上,40-45,14500,1200,5800,2700,0,2200,2700,47996,12000,300,2400,0
2025,1,平安集团,平安-01-050,运营,前50%,B类,8-10,35-40,6950,295,2270,790,0,0,990,9305,0,300,570,0
